,CHỈ TIÊU,2019,2020,2021,2022
0,TỔNG TÀI SẢN,401884876944.0,1344047668192.0,4871164108824.0,7500156018854.0
1,TÀI SẢN NGẮN HẠN,386316954795.0,1328446675481.0,4590119191952.0,6974632750253.0
2,Tiền và tương đương tiền,44928723399.0,48400573704.0,227281248385.0,29472571546.0
3,Tiền,14425622978.0,48400573704.0,227281248385.0,29472571546.0
4,Các khoản tương đương tiền,30503100421.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0
9,Các khoản phải thu,203489929649.0,1033322751354.0,4179632343548.0,6674940658674.0
10,Phải thu khách hàng,112211562073.0,617740119291.0,1917541753708.0,2105637347278.0
11,Trả trước người bán,87274264917.0,404158621522.0,1996334386824.0,3784693576031.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,9950000000.0,256000000000.0,643568000000.0
15,Phải thu khác,4004102659.0,1474010541.0,9756203016.0,141041735365.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",125538672432.0,243613003666.0,183005489640.0,267010297395.0
19,Hàng tồn kho,125538672432.0,243613003666.0,183005489640.0,267010297395.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,12359629315.0,3110346757.0,200110379.0,3209222638.0
22,Trả trước ngắn hạn,1288547693.0,211116704.0,200110379.0,69166123.0
23,Thuế VAT phải thu,11071081622.0,2899230053.0,0.0,3140056515.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,15567922149.0,15600992711.0,281044916872.0,525523268601.0
28,Phải thu dài hạn,0.0,0.0,0.0,256000000000.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,256000000000.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0
36,Tài sản cố định,4124235551.0,3995596768.0,9889065103.0,10012544875.0
37,GTCL TSCĐ hữu hình,4124235551.0,3851152325.0,8594483035.0,9109429483.0
