,CHỈ TIÊU,2019,2020,2021,2022
0,Doanh số,128303075066.0,1420345755182.0,2857279789954.0,1950756861278.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0
2,Doanh số thuần,128303075066.0,1420345755182.0,2857279789954.0,1950756861278.0
3,Giá vốn hàng bán,-116145847985.0,-1278531719153.0,-2614770758378.0,-1818595684496.0
4,Lãi gộp,12157227081.0,141814036029.0,242509031576.0,132161176782.0
5,Thu nhập tài chính,785626626.0,278518814.0,168781803114.0,268188765737.0
6,Chi phí tài chính,0.0,0.0,-152050565888.0,-225440431407.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,-148881071521.0,-223014870568.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,-63648786.0,-527010113.0
10,Chi phí quản lý doanh  nghiệp,-6158245311.0,-29524986369.0,-54809040348.0,-86130239600.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,6784608396.0,112567568474.0,204367579668.0,88252261399.0
12,Thu nhập khác,0.0,272830001.0,304029767.0,1109616387.0
13,Chi phí khác,-50212624.0,-100183537.0,-1031487724.0,-8662090310.0
14,"Thu nhập khác, ròng",-50212624.0,172646464.0,-727457957.0,-7552473923.0
16,Lãi/(lỗ) ròng trước thuế,6734395772.0,112740214938.0,203640121711.0,80699787476.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-1356921680.0,-22565258745.0,-41730035240.0,-56226733900.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,843021526.0,-670140697.0
19,Chi phí thuế thu nhập doanh nghiệp,-1356921680.0,-22565258745.0,-40887013714.0,-56896874597.0
20,Lãi/(lỗ) thuần sau thuế,5377474092.0,90174956193.0,162753107997.0,23802912879.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,1125489411.0,739084281.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,5377474092.0,90174956193.0,161627618586.0,23063828598.0
23,Lãi cơ bản trên cổ phiếu,766.0,2930.0,2057.0,271.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0
