,Unnamed: 0,2016,2017,2018,2019,2020,2021
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,883145438.0,-3184888667.0,3452678224.0,1139870590.0,6188469281.0,3070966897.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,5205699922.0,0.0,9973152760.0,5710320037.0,6799400687.0,8072429744.0
2,Lãi trước thuế,1580740483.0,0.0,3118482210.0,319148433.0,2207520407.0,4287195579.0
3,Khấu hao TSCĐ,3214727485.0,4019674992.0,5335387402.0,4002801893.0,3752625896.0,3396487265.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-21017912.0,0.0,-9543177.0,0.0,0.0,0.0
9,Chi phí lãi vay,427206838.0,0.0,1528826325.0,1388369711.0,839254384.0,388746900.0
11,Các khoản điều chỉnh khác,4043028.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-1098912307.0,0.0,8740725424.0,-3306099402.0,-5150614193.0,-5118718664.0
13,(Tăng)/giảm hàng tồn kho,13817334.0,0.0,-16563192909.0,-4570305143.0,3601011971.0,2637196551.0
14,Tăng/(giảm) các khoản phải trả,2881728464.0,0.0,7353603165.0,3408648283.0,1499745132.0,-1470729466.0
15,( Tăng)/giảm chi phí trả trước,-919364206.0,0.0,-1537350172.0,1893770076.0,1072680770.0,-468332830.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-430288097.0,0.0,-1034261765.0,-881821292.0,-1489276283.0,-405396043.0
18,Thuế thu nhập doanh nghiệp đã trả,-1610722000.0,0.0,-667108393.0,-100000000.0,-128478803.0,-164982395.0
19,Tiền thu khác từ các hoạt động kinh doanh,10418100.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-3169231772.0,0.0,-2812889886.0,-1014641969.0,-16000000.0,-10500000.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-1433533543.0,-10098870908.0,-5199728804.0,-3709090909.0,0.0,0.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-1454551455.0,-10106263635.0,-5209271981.0,-3709090909.0,0.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,21017912.0,7392727.0,9543177.0,0.0,0.0,0.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,3963606000.0,5368658336.0,2621050580.0,647169412.0,-6085689420.0,-3316737228.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,5583600000.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,1700000000.0,8030001000.0,7627300000.0,4100000000.0,5150000000.0,1800000000.0
33,Tiển trả các khoản đi vay,-3319994000.0,-2661342664.0,-3806249420.0,-3452830588.0,-11235689420.0,-5116737228.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,-1200000000.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,3413217895.0,-7915101239.0,874000000.0,-1922050907.0,102779861.0,-245770331.0
38,Tiền và tương đương tiền đầu kỳ,4631740495.0,9221844024.0,1306539250.0,2180539250.0,258488343.0,361268204.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,8044958390.0,1306742785.0,2180539250.0,258488343.0,361268204.0,115497873.0
