,CHỈ TIÊU,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,110442906023.0,110875445627.0,102844870315.0,94439857172.0,80927160953.0,86246206869.0,87248480375.0
1,TÀI SẢN NGẮN HẠN,12232919282.0,16502953489.0,17396542600.0,20529267274.0,13087285625.0,21428214049.0,23700592467.0
2,Tiền và tương đương tiền,260051122.0,217435245.0,444779751.0,1240813675.0,2877018084.0,675802431.0,163789410.0
3,Tiền,260051122.0,217435245.0,444779751.0,1240813675.0,877018084.0,675802431.0,163789410.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,2000000000.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,1626561169.0,5875793345.0,5906248606.0,11414424992.0,2983778000.0,495220000.0,1671428320.0
10,Phải thu khách hàng,969055328.0,5168918150.0,5153533000.0,8186912812.0,0.0,0.0,15244320.0
11,Trả trước người bán,108288000.0,30000000.0,0.0,2012306000.0,2983778000.0,495220000.0,1656184000.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,549217841.0,676875195.0,752715606.0,1215206180.0,0.0,0.0,0.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",10346306991.0,10409724899.0,11045514243.0,7874028607.0,7226489541.0,19875689997.0,21865374737.0
19,Hàng tồn kho,10346306991.0,10409724899.0,11045514243.0,7874028607.0,7226489541.0,19875689997.0,21865374737.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,381501621.0,0.0
22,Trả trước ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Thuế VAT phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,0.0,381501621.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,98209986741.0,94372492138.0,85448327715.0,73910589898.0,67839875328.0,64817992820.0,63547887908.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
