,CHỈ TIÊU,Q1 2011,Q2 2011,Q3 2011,Q1 2012
0,Doanh số,7468284333.0,8897026878.0,7290146857.0,11838094818.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0
2,Doanh số thuần,7468284333.0,8897026878.0,7290146857.0,11838094818.0
3,Giá vốn hàng bán,-6652121304.0,-7840224546.0,-5723637502.0,-10632933727.0
4,Lãi gộp,816163029.0,1056802332.0,1566509355.0,1205161091.0
5,Thu nhập tài chính,525886050.0,601231532.0,694197218.0,588494701.0
6,Chi phí tài chính,0.0,0.0,0.0,0.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-477680197.0,-701078073.0,-1132471030.0,-580031208.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,864368882.0,956955791.0,1128235543.0,1213624584.0
12,Thu nhập khác,386712310.0,372727273.0,0.0,0.0
13,Chi phí khác,0.0,-40816319.0,0.0,0.0
14,"Thu nhập khác, ròng",386712310.0,331910954.0,0.0,0.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,1251081192.0,1288866745.0,1128235543.0,1213624584.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-312770298.0,-322216686.0,-282058886.0,-303406146.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-312770298.0,-322216686.0,-282058886.0,-303406146.0
20,Lãi/(lỗ) thuần sau thuế,938310894.0,966650059.0,846176657.0,910218438.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,938310894.0,966650059.0,846176657.0,910218438.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,705.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0
