,CHỈ TIÊU,Q1 2011,Q2 2011,Q3 2011,Q1 2012
0,TỔNG TÀI SẢN,24038853429.0,25591211458.0,26202854419.0,32206662316.0
1,TÀI SẢN NGẮN HẠN,21170120629.0,23016143985.0,23889782775.0,30394453072.0
2,Tiền và tương đương tiền,18404635297.0,19142786761.0,20507093920.0,20611650175.0
3,Tiền,1904635297.0,1142786761.0,1507093920.0,2111650175.0
4,Các khoản tương đương tiền,16500000000.0,18000000000.0,19000000000.0,18500000000.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0
9,Các khoản phải thu,2070427334.0,3288243356.0,1785013831.0,6670268067.0
10,Phải thu khách hàng,1025237334.0,2246193356.0,1051103831.0,6650638067.0
11,Trả trước người bán,1000000000.0,1000000000.0,1000000000.0,0.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0
15,Phải thu khác,45190000.0,42050000.0,233910000.0,1019630000.0
16,Dự phòng nợ khó đòi,0.0,0.0,-500000000.0,-1000000000.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",695057998.0,585113868.0,1597675024.0,1659599540.0
19,Hàng tồn kho,695057998.0,585113868.0,1597675024.0,1659599540.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,0.0,0.0,0.0,1452935290.0
22,Trả trước ngắn hạn,0.0,0.0,0.0,0.0
23,Thuế VAT phải thu,0.0,0.0,0.0,650227190.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,802708100.0
27,TÀI SẢN DÀI HẠN,2868732800.0,2575067473.0,2313071644.0,1812209244.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0
36,Tài sản cố định,2868732800.0,2575067473.0,2313071644.0,1812209244.0
37,GTCL TSCĐ hữu hình,2868732800.0,2575067473.0,2313071644.0,1812209244.0
38,Nguyên giá TSCĐ hữu hình,24834017471.0,23125506216.0,23125506216.0,23023993957.0
39,Khấu hao lũy kế TSCĐ hữu hình,-21965284671.0,-20550438743.0,-20812434572.0,-21211784713.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,0.0,0.0,0.0
44,Nguyên giá TSCĐ vô hình,0.0,0.0,0.0,0.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,0.0,0.0,0.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0
51,Xây dựng cơ bản dở dang,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,0.0,0.0,0.0,0.0
59,Trả trước dài hạn,0.0,0.0,0.0,0.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0
63,Lợi thế thương mại,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,4816979929.0,6482687899.0,7328154204.0,10601713810.0
65,Nợ ngắn hạn,4812157454.0,6480230624.0,7275688918.0,10601713810.0
66,Phải trả người bán,564999391.0,200291925.0,810855687.0,4602373974.0
67,Người mua trả tiền trước,40000000.0,0.0,1651758531.0,0.0
68,Thuế và các khoản phải trả Nhà nước,588661595.0,854768953.0,1050089737.0,2685157068.0
69,Phải trả người lao động,2209764733.0,4002513677.0,2555358943.0,1937110052.0
70,Chi phí phải trả,0.0,0.0,0.0,0.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,0.0
74,Phải trả khác,175522394.0,219758228.0,126133179.0,150634421.0
75,Vay ngắn hạn,0.0,0.0,0.0,0.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0,0.0
77,"Quỹ khen thưởng, phúc lợi",1233209341.0,1202897841.0,1081492841.0,1226438295.0
78,Quỹ bình ổn giá,0.0,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0
80,Nợ dài hạn,4822475.0,2457275.0,52465286.0,0.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,0.0,0.0,0.0,0.0
87,Phải trả dài hạn khác,0.0,0.0,0.0,0.0
88,Vay dài hạn,0.0,0.0,0.0,0.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0,0.0
92,Dự phòng trợ cấp thôi việc,4822475.0,2457275.0,52465286.0,0.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,19221873500.0,19108523559.0,18874700215.0,21604948506.0
96,Vốn và các quỹ,19221873500.0,19108523559.0,18874700215.0,21604948506.0
97,Vốn góp,12000000000.0,12000000000.0,12000000000.0,12000000000.0
98,Cổ phiếu phổ thông,12000000000.0,12000000000.0,12000000000.0,12000000000.0
99,Cổ phiếu ưu đãi,0.0,0.0,0.0,0.0
100,Thặng dư vốn cổ phần,0.0,0.0,0.0,0.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0,0.0
102,Vốn khác,0.0,0.0,0.0,0.0
103,Cổ phiếu Quỹ,0.0,0.0,0.0,0.0
104,Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0,0.0
105,Chênh lệch tỷ giá,0.0,0.0,0.0,0.0
106,Quỹ đầu tư và phát triển,3247974425.0,3247974425.0,3247974425.0,3247974425.0
107,Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0,0.0
