,CHỈ TIÊU,2015,2016,2017,2018,2020,2021
0,TỔNG TÀI SẢN,459120116181.0,379305924381.0,358918425813.0,347147247563.0,341007285878.0,373748227395.0
1,TÀI SẢN NGẮN HẠN,437559050090.0,359077646121.0,339553181044.0,325901028260.0,319311940990.0,353614865113.0
2,Tiền và tương đương tiền,25408976705.0,41361772603.0,10541890557.0,6624683476.0,858269854.0,11363980903.0
3,Tiền,16314216808.0,41361772603.0,10541890557.0,6624683476.0,858269854.0,11363980903.0
4,Các khoản tương đương tiền,9094759897.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,264476721840.0,210168056395.0,221467021570.0,201369157524.0,228503151004.0,247723578050.0
10,Phải thu khách hàng,137355348186.0,95174901280.0,106622768422.0,96177515550.0,117648084374.0,125833671772.0
11,Trả trước người bán,18684519843.0,15193943932.0,11124088384.0,9083854321.0,8925971524.0,10601656197.0
12,Phải thu nội bộ,4475585219.0,5375001216.0,5425302730.0,4175631774.0,3922663430.0,3922663430.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,103961268592.0,94424209967.0,98294862034.0,91932155879.0,98006431676.0,107365586651.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",147478338003.0,107299305638.0,107251274414.0,117354210138.0,89015766581.0,93928593485.0
19,Hàng tồn kho,147478338003.0,107299305638.0,107251274414.0,117354210138.0,89015766581.0,93928593485.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,195013542.0,248511485.0,292994503.0,552977122.0,934753551.0,598712675.0
22,Trả trước ngắn hạn,0.0,0.0,0.0,324544358.0,705941688.0,568654836.0
23,Thuế VAT phải thu,195013542.0,121230687.0,118327567.0,83588542.0,10788125.0,7481711.0
24,Phải thu thuế khác,0.0,127280798.0,174666936.0,144844222.0,218023738.0,22576128.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,21561066091.0,20228278260.0,19365244769.0,21246219303.0,21695344888.0,20133362282.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,10863627686.0,13719878836.0,11833919992.0,7153394941.0,9550388185.0,8368465514.0
37,GTCL TSCĐ hữu hình,10803994329.0,13629868249.0,11783037649.0,7123327784.0,9543032148.0,8368465514.0
38,Nguyên giá TSCĐ hữu hình,46017722974.0,50737077259.0,50737077259.0,34177598757.0,33478070134.0,33478070134.0
39,Khấu hao lũy kế TSCĐ hữu hình,-35213728645.0,-37107209010.0,-38954039610.0,-27054270973.0,-23935037986.0,-25109604620.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,59633357.0,90010587.0,50882343.0,30067157.0,7356037.0,0.0
44,Nguyên giá TSCĐ vô hình,247573892.0,304351670.0,304351670.0,304351670.0,304351670.0,304351670.0
45,Khấu hao lũy kế TSCĐ vô hình,-187940535.0,-214341083.0,-253469327.0,-274284513.0,-296995633.0,-304351670.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,4421794285.0,0.0,0.0,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,6275644120.0,6508399424.0,7531324777.0,14092824362.0,12144956703.0,11764896768.0
