,CHỈ TIÊU,2015,2016,2017,2018,2020,2021
0,Doanh số,396813084397.0,269701060530.0,226182382615.0,117472566116.0,160833118554.0,166561247137.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,396813084397.0,269701060530.0,226182382615.0,117472566116.0,160833118554.0,166561247137.0
3,Giá vốn hàng bán,-380627272888.0,-258300778300.0,-215277978640.0,-112268576269.0,-154284599238.0,-158737851687.0
4,Lãi gộp,16185811509.0,11400282230.0,10904403975.0,5203989847.0,6548519316.0,7823395450.0
5,Thu nhập tài chính,1084562487.0,975269766.0,779908342.0,159640079.0,249284319.0,284963968.0
6,Chi phí tài chính,-5129647451.0,-995141595.0,-144642366.0,-121846645.0,-83625981.0,-54822714.0
7,Trong đó: Chi phí lãi vay,-5129647451.0,-995141595.0,-144642366.0,-121846645.0,-83625981.0,-54822714.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-2174157.0,-2704961626.0,-4065595681.0,-419491925.0,-597551421.0,-983486660.0
10,Chi phí quản lý doanh  nghiệp,-14805763667.0,-9485589227.0,-7553861071.0,-4349193872.0,-4677267198.0,-5357475304.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-2667211279.0,-810140452.0,-79786801.0,473097484.0,1439359035.0,1712574740.0
12,Thu nhập khác,11501344245.0,3465386154.0,3085923687.0,1615383699.0,790387826.0,249877736.0
13,Chi phí khác,-4415171828.0,-1010617187.0,-1943615665.0,-1473163619.0,-587718304.0,-99951094.0
14,"Thu nhập khác, ròng",7086172417.0,2454768967.0,1142308022.0,142220080.0,202669522.0,149926642.0
16,Lãi/(lỗ) ròng trước thuế,4418961138.0,1644628515.0,1062521221.0,615317564.0,1642028557.0,1862501382.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-972171450.0,-328925703.0,-212504244.0,-123063513.0,-229883998.0,-261044193.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-972171450.0,-328925703.0,-212504244.0,-123063513.0,-229883998.0,-261044193.0
20,Lãi/(lỗ) thuần sau thuế,3446789688.0,1315702812.0,850016977.0,492254051.0,1412144559.0,1601457189.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,3446789688.0,1315702812.0,850016977.0,492254051.0,1412144559.0,1601457189.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,368.0,213.0,611.0,613.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,611.0,613.0
