,CHỈ TIÊU,Q1 2008,Q2 2008,Q3 2008,Q1 2009,Q2 2009,Q3 2009,Q3 2013
0,Doanh số,98939410710.0,254300488271.0,254300488271.0,54431631766.0,271913643595.0,271913643595.0,6546321158.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,-2376364.0
2,Doanh số thuần,98939410710.0,254300488271.0,254300488271.0,54431631766.0,271913643595.0,271913643595.0,6543944794.0
3,Giá vốn hàng bán,-94100373667.0,-229462586665.0,-229462586665.0,-49857196218.0,-249824129559.0,-250055640728.0,-4932944073.0
4,Lãi gộp,4839037043.0,24837901606.0,24837901606.0,4574435548.0,22089514036.0,21858002867.0,1611000721.0
5,Thu nhập tài chính,684879376.0,2374970507.0,1400480689.0,501978348.0,1157528877.0,1034665114.0,3451774.0
6,Chi phí tài chính,-2639012168.0,-14710369860.0,-14343300130.0,-2436698099.0,-8956562080.0,-8603012723.0,-2914393000.0
7,Trong đó: Chi phí lãi vay,-2593219276.0,-9130064445.0,-13442464516.0,-2234686984.0,-5771387235.0,-8191369483.0,-2914586514.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-129363589.0,-749052541.0,-749052541.0,-165461445.0,-1114566487.0,-1114566487.0,-759754550.0
10,Chi phí quản lý doanh  nghiệp,-1078798282.0,-3576357655.0,-3576357655.0,-1116315174.0,-3921580509.0,-3921580509.0,-563869705.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,1676742380.0,8177092057.0,7569671969.0,1357939178.0,9254333837.0,9253508262.0,-2623564760.0
12,Thu nhập khác,310600.0,129132954.0,974489818.0,0.0,122038188.0,122038188.0,1818181818.0
13,Chi phí khác,-15725.0,-291797.0,-367069730.0,0.0,-353549357.0,-353549357.0,-20958207.0
14,"Thu nhập khác, ròng",294875.0,128841157.0,607420088.0,0.0,-231511169.0,-231511169.0,1797223611.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,1677037255.0,8305933214.0,8177092057.0,1357939178.0,9022822668.0,9021997093.0,-826341149.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-406400642.0,-2289585776.0,-2289585776.0,-162224278.0,-1415980936.0,-1415980936.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-406400642.0,-2289585776.0,-2289585776.0,-162224278.0,-1415980936.0,-1415980936.0,0.0
20,Lãi/(lỗ) thuần sau thuế,1270636613.0,6016347438.0,5887506281.0,1195714900.0,7606841732.0,7606016157.0,-826341149.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,1270636613.0,6016347438.0,5887506281.0,1195714900.0,7606841732.0,7606016157.0,-826341149.0
23,Lãi cơ bản trên cổ phiếu,578.0,2344.0,2294.0,378.0,2404.0,2403.0,-204.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0
