,CHỈ TIÊU,Q1 2009,Q2 2009,Q3 2009,Q3 2010,Q3 2012,Q2 2013,Q3 2013
0,TỔNG TÀI SẢN,201149852201.0,231558003814.0,231558003814.0,223397268242.0,172469593311.0,41946246593.0,42030882930.0
1,TÀI SẢN NGẮN HẠN,161813659161.0,192514692986.0,192514692986.0,183112384196.0,136427523380.0,16213850855.0,16912445120.0
2,Tiền và tương đương tiền,3376171508.0,1359313200.0,1359313200.0,1522536678.0,289948754.0,257430974.0,570035237.0
3,Tiền,3376171508.0,1359313200.0,1359313200.0,1522536678.0,289948754.0,257430974.0,570035237.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,120258045696.0,152057630247.0,152057630247.0,156462833154.0,128460809429.0,9202662711.0,9561912769.0
10,Phải thu khách hàng,109544227956.0,148496249001.0,148496249001.0,155502760618.0,115986487514.0,112059308721.0,112396547168.0
11,Trả trước người bán,6089868964.0,1274443217.0,1274443217.0,84896200.0,1241265276.0,250066653.0,265498510.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,4623948776.0,2286938029.0,2286938029.0,875176336.0,21516884029.0,19746517450.0,19753097204.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,-10283827390.0,-122853230113.0,-122853230113.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0
