,CHỈ TIÊU,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,611389970253.0,705541167528.0,704931698911.0,767962583866.0,717073733481.0,809885847542.0,867157051554.0,1075351940685.0,1361335753980.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,611389970253.0,705541167528.0,704931698911.0,767962583866.0,717073733481.0,809885847542.0,867157051554.0,1075351940685.0,1361335753980.0
3,Giá vốn hàng bán,-509692001728.0,-582141226529.0,-593790307503.0,-650555821866.0,-602629334037.0,-684583704581.0,-743714491885.0,-942699110635.0,-1210170752618.0
4,Lãi gộp,101697968525.0,123399940999.0,111141391408.0,117406762000.0,114444399444.0,125302142961.0,123442559669.0,132652830050.0,151165001362.0
5,Thu nhập tài chính,2906284532.0,78207234.0,56483200.0,79550390.0,12961378.0,265171991.0,640139500.0,1005209519.0,851383404.0
6,Chi phí tài chính,-10700336851.0,-12897804441.0,-20918284632.0,-25887291252.0,-23957796255.0,-22645602315.0,-20270383054.0,-24321221495.0,-34673098876.0
7,Trong đó: Chi phí lãi vay,-10505804906.0,-12897804441.0,-20897739632.0,-25886603208.0,-23957796255.0,-22645602315.0,-20234023054.0,-24190714465.0,-33118369288.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-36948715112.0,-45049787955.0,-43130421919.0,-41874859372.0,-36604963203.0,-41058911686.0,-36413247214.0,-37516882512.0,-41540762526.0
10,Chi phí quản lý doanh  nghiệp,-49259697961.0,-51751487120.0,-32827934816.0,-34551839555.0,-38446382607.0,-41525499698.0,-37656016761.0,-46772370633.0,-59530379315.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,7695503133.0,13779068717.0,14321233241.0,15172322211.0,15448218757.0,20337301253.0,29743052140.0,25047564929.0,16272144049.0
12,Thu nhập khác,205711818.0,261609431.0,270723983.0,201001001.0,129467053.0,44547460.0,752340515.0,77331042.0,153002393.0
13,Chi phí khác,-63970909.0,-23461733.0,-34636464.0,-108321429.0,-34214009.0,-342647050.0,-305025600.0,-9138860.0,-407740865.0
14,"Thu nhập khác, ròng",141740909.0,238147698.0,236087519.0,92679572.0,95253044.0,-298099590.0,447314915.0,68192182.0,-254738472.0
16,Lãi/(lỗ) ròng trước thuế,7837244042.0,14017216415.0,14557320760.0,15265001783.0,15543471801.0,20039201663.0,30190367055.0,25115757111.0,16017405577.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-635099743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-635099743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,7202144299.0,14017216415.0,14557320760.0,15265001783.0,15543471801.0,20039201663.0,30190367055.0,25115757111.0,16017405577.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,7202144299.0,14017216415.0,14557320760.0,15265001783.0,15543471801.0,20039201663.0,30190367055.0,25115757111.0,16017405577.0
23,Lãi cơ bản trên cổ phiếu,0.0,1869.0,1941.0,1839.0,1850.0,2386.0,3594.0,2990.0,1907.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,1839.0,1850.0,2386.0,3594.0,2990.0,1907.0
