,Unnamed: 0,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,8589188116.0,5802028455.0,-9087686519.0,35206274790.0,9367182720.0,50308402444.0,51013508834.0,-18456289979.0,71578074672.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,0.0,0.0,57359418185.0,61738323902.0,60140258500.0,64101464672.0,69704821711.0,72769062713.0,77266898073.0
2,Lãi trước thuế,0.0,0.0,14557320760.0,15265001783.0,15543471801.0,20039201663.0,30190367055.0,25115757111.0,16017405577.0
3,Khấu hao TSCĐ,0.0,0.0,21932354994.0,20535403590.0,20742381844.0,20741294908.0,19884483829.0,24458661796.0,28488888626.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,-1011796.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,0.0,0.0,-26985405.0,51837967.0,-102779884.0,675365786.0,-604052227.0,-996070659.0,-357765418.0
9,Chi phí lãi vay,0.0,0.0,20897739632.0,25886603208.0,23957796255.0,22645602315.0,20234023054.0,24190714465.0,33118369288.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,-522646.0,-611516.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,0.0,0.0,-13603042007.0,12595409848.0,-5366536530.0,-11397720394.0,1797019141.0,-439719420.0,-53821966905.0
13,(Tăng)/giảm hàng tồn kho,0.0,0.0,-14812502415.0,-3495384362.0,-24614802691.0,9695578634.0,-21004731883.0,-71573598976.0,78906048194.0
14,Tăng/(giảm) các khoản phải trả,0.0,0.0,-10401336392.0,-10326120424.0,-308280465.0,12750251897.0,23157134408.0,6913543888.0,3656596124.0
15,( Tăng)/giảm chi phí trả trước,0.0,0.0,-4747178494.0,2407619872.0,5276867358.0,2708032603.0,-84987373.0,-557382744.0,476006170.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,0.0,0.0,-20543460396.0,-25932200865.0,-23937779932.0,-22860979968.0,-20133248079.0,-24185549076.0,-33049419984.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,-2339585000.0,-1781373181.0,-1822543520.0,-4688225000.0,-2422499091.0,-1382646364.0,-1856087000.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-65207986689.0,-68608219381.0,-67290001773.0,-19421015590.0,-6853683778.0,-2410846378.0,-82122074413.0,6727182843.0,-110552744893.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-68056045175.0,-68748219031.0,-67387387177.0,-19739249597.0,-7125463337.0,-3126018369.0,-50937126640.0,-26278026676.0,-111695390574.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,61818182.0,41914000.0,168750545.0,201818181.0,450000000.0,272727.0,0.0,561818716.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,-32000000000.0,0.0,0.0
