,CHỈ TIÊU,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q4 2010.1,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q4 2011.1
0,Doanh số,46741819023.0,51460385029.0,47120713231.0,33903368753.0,33903368753.0,50800268381.0,38339238484.0,41395194689.0,39757515209.0,39757515209.0
1,Các khoản giảm trừ,0.0,-268845510.0,-744638850.0,-59835335.0,-59835335.0,-834314820.0,-138454975.0,-596403153.0,0.0,0.0
2,Doanh số thuần,46741819023.0,51191539519.0,46376074381.0,33843533418.0,33843533418.0,49965953561.0,38200783509.0,40798791536.0,39757515209.0,39757515209.0
3,Giá vốn hàng bán,-48162577687.0,-43966551933.0,-43417754351.0,-36202188267.0,-36202188267.0,-51183331119.0,-41506394774.0,-41093591589.0,-50223623923.0,-50223623923.0
4,Lãi gộp,-1420758664.0,7224987586.0,2958320030.0,-2358654849.0,-2358654849.0,-1217377558.0,-3305611265.0,-294800053.0,-10466108714.0,-10466108714.0
5,Thu nhập tài chính,699293923.0,446436331.0,527605527.0,771133825.0,771133825.0,555067169.0,48408342.0,-9314360.0,941778347.0,941778347.0
6,Chi phí tài chính,-5268421220.0,-6072276788.0,-5117356959.0,-7902159223.0,-7902159223.0,-5613097289.0,-6722090162.0,-6219843051.0,-6287375296.0,-6287375296.0
7,Trong đó: Chi phí lãi vay,-4612858292.0,-5827956846.0,-4811231041.0,0.0,0.0,-5591202309.0,-6555833198.0,-6229646820.0,-5985332964.0,-5985332964.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-230088697.0,-1728496371.0,-1496661279.0,-282463755.0,-282463755.0,-517818253.0,-514939788.0,-846075504.0,-1203024642.0,-1203024642.0
10,Chi phí quản lý doanh  nghiệp,-2370419256.0,-7471387181.0,-4190581422.0,-2120249622.0,-2120249622.0,-1615597435.0,-2585253589.0,-2078720072.0,-2767383851.0,-2767383851.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-8590393914.0,-7600736423.0,-7318674103.0,-11892393624.0,-11892393624.0,-8408823366.0,-13079486462.0,-9448753040.0,-19782114156.0,-19782114156.0
12,Thu nhập khác,6.0,3816098.0,119445445.0,1127559.0,1127559.0,325062208.0,16584921.0,33762801.0,101843192.0,101843192.0
13,Chi phí khác,-345523553.0,-101643957.0,-99297424.0,-27356063.0,-27356063.0,-200589156.0,-34274742.0,-69839438.0,-1825194480.0,-1825194480.0
14,"Thu nhập khác, ròng",-345523547.0,-97827859.0,20148021.0,-26228504.0,-26228504.0,124473052.0,-17689821.0,-36076637.0,-1723351288.0,-1723351288.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,-8935917461.0,-7698564282.0,-7298526082.0,-11918622128.0,-11918622128.0,-8284350314.0,-13097176283.0,-9484829677.0,-21505465444.0,-21505465444.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,-8935917461.0,-7698564282.0,-7298526082.0,-11918622128.0,-11918622128.0,-8284350314.0,-13097176283.0,-9484829677.0,-21505465444.0,-21505465444.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-8935917461.0,-7698564282.0,-7298526082.0,-11918622128.0,-11918622128.0,-8284350314.0,-13097176283.0,-9484829677.0,-21505465444.0,-21505465444.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
