,CHỈ TIÊU,2005,2006,2007,2008,2009,2010,2011,2012,2013
0,Doanh số,0.0,161784661281.0,225474735343.0,392234118837.0,337529953077.0,168302056358.0,168723043815.0,54322644456.0,35698967493.0
1,Các khoản giảm trừ,0.0,-413251401.0,-474250488.0,-409874482.0,-1088347781.0,-368365725.0,0.0,0.0,-80802000.0
2,Doanh số thuần,0.0,161371409880.0,225000484855.0,391824244355.0,336441605296.0,167933690633.0,168723043815.0,54322644456.0,35618165493.0
3,Giá vốn hàng bán,0.0,-142312392955.0,-198956017578.0,-369852489795.0,-343638531550.0,-171631566207.0,-184006941405.0,-74288282928.0,-46870107071.0
4,Lãi gộp,0.0,19059016925.0,26044467277.0,21971754560.0,-7196926254.0,-3697875574.0,-15283897590.0,-19965638472.0,-11251941578.0
5,Thu nhập tài chính,0.0,137449315.0,1544895917.0,3871268861.0,689344043.0,1965714500.0,1535939498.0,70062756.0,40233822.0
6,Chi phí tài chính,0.0,-5546412761.0,-5349907636.0,-12774561961.0,-21106608159.0,-24305074001.0,-24842405798.0,-21577232047.0,-13150875833.0
7,Trong đó: Chi phí lãi vay,0.0,-4931620931.0,-5004446503.0,-6317908835.0,-14914721491.0,-21184524952.0,-24362015291.0,-20584869242.0,-13147185833.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,-1959477129.0,-2407497383.0,-2665177319.0,-2942247584.0,-1095463011.0,-3081858187.0,-1706238680.0,-1826813357.0
10,Chi phí quản lý doanh  nghiệp,0.0,-4461097641.0,-5515859846.0,-8845596382.0,-14574788885.0,-8234400339.0,-9058802573.0,-38247403103.0,-14825391970.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,0.0,7229478709.0,14316098329.0,1557687759.0,-45131226839.0,-35367098425.0,-50731024650.0,-81426449546.0,-41014788916.0
12,Thu nhập khác,0.0,556700673.0,828220579.0,1510391869.0,1180793230.0,122014011.0,2172401052.0,1069110815.0,128370.0
13,Chi phí khác,0.0,-37503097.0,-89918147.0,-1730422404.0,-6317770542.0,-492182893.0,-10036841872.0,-7931366657.0,-6856143173.0
14,"Thu nhập khác, ròng",0.0,519197576.0,738302432.0,-220030535.0,-5136977312.0,-370168882.0,-7864440820.0,-6862255842.0,-6856014803.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,0.0,7748676285.0,15054400761.0,1337657224.0,-50268204151.0,-35737267307.0,-58595465470.0,-88288705388.0,-47870803719.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,-774867629.0,-2258160114.0,-494505409.0,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,-774867629.0,-2258160114.0,-494505409.0,0.0,0.0,0.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,0.0,6973808656.0,12796240647.0,843151815.0,-50268204151.0,-35737267307.0,-58595465470.0,-88288705388.0,-47870803719.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,0.0,6973808656.0,12796240647.0,843151815.0,-50268204151.0,-35737267307.0,-58595465470.0,-88288705388.0,-47870803719.0
23,Lãi cơ bản trên cổ phiếu,0.0,2273.0,3166.0,105.0,-6284.0,-4467.0,-7324.0,-11036.0,-5984.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
