,Unnamed: 0,Q1 2009,Q1 2010,Q2 2010,Q3 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-3352463555.0,-2684112739.0,7577313597.0,-5358032501.0,1858215700.0,8053729539.0,1669548459.0,9688697764.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Lãi trước thuế,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Khấu hao TSCĐ,1838283375.0,3670402081.0,0.0,0.0,3386444203.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Lãi/(lỗ) từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí lãi vay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Thu lãi và cổ tức,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,(Tăng)/giảm hàng tồn kho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Tăng/(giảm) các khoản phải trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,( Tăng)/giảm chi phí trả trước,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-1788591977.0,-1738131954.0,15678169.0,-1019097772.0,880067169.0,-681976453.0,-141352561.0,-1376203336.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-1807629031.0,-2288738584.0,0.0,-2342204922.0,0.0,-146361000.0,-716061996.0,-846035345.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,-105226068.0,0.0,-306767406.0,325000000.0,0.0,0.0,-325000000.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341584300.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,19037054.0,655832698.0,15678169.0,1629874556.0,555067169.0,-535615453.0,574709435.0,-546752291.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,5353216060.0,3016014373.0,-8818648235.0,4145564213.0,-1514044928.0,-6493901569.0,-3033253110.0,-7100000000.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,45851110672.0,52026509870.0,70556548167.0,143242233582.0,44906374707.0,24508018662.0,4190080190.0,0.0
33,Tiển trả các khoản đi vay,-39765540965.0,-48354932569.0,-79375196402.0,-137903030324.0,-46420419635.0,-31001920231.0,-7223333300.0,-7100000000.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,-501881564.0,-655562928.0,0.0,-1193639045.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,-230472083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tiền lãi đã nhận,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,212160528.0,-1406230320.0,-1225656469.0,-2231566060.0,1224237941.0,877851517.0,-1505057212.0,1212494428.0
38,Tiền và tương đương tiền đầu kỳ,4404164236.0,2808720289.0,2832250924.0,2832250924.0,809062640.0,2033300581.0,2801089738.0,1406094886.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,-110062360.0,110062360.0,0.0
40,Tiền và tương đương tiền cuối kỳ,4616324764.0,1402489969.0,1606594455.0,600684864.0,2033300581.0,2801089738.0,1406094886.0,2618589314.0
